title,url,page_number
Transactions of the South African Institute of Electrical Engineers,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Transactions%20of%20the%20South%20African%20Institute%20of%20Electrical%20Engineers&returnFacets=ALL&,41
Transactions of the South African Institute of Electrical Engineers,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Transactions%20of%20the%20South%20African%20Institute%20of%20Electrical%20Engineers&returnFacets=ALL&,42
Transactions of the South African Institute of Electrical Engineers,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Transactions%20of%20the%20South%20African%20Institute%20of%20Electrical%20Engineers&returnFacets=ALL&,43
Transactions of the South African Institute of Electrical Engineers,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Transactions%20of%20the%20South%20African%20Institute%20of%20Electrical%20Engineers&returnFacets=ALL&,44
Transactions of the South African Institute of Electrical Engineers,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Transactions%20of%20the%20South%20African%20Institute%20of%20Electrical%20Engineers&returnFacets=ALL&,45
Transactions of the South African Institute of Electrical Engineers,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Transactions%20of%20the%20South%20African%20Institute%20of%20Electrical%20Engineers&returnFacets=ALL&,46
Transactions of the South African Institute of Electrical Engineers,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Transactions%20of%20the%20South%20African%20Institute%20of%20Electrical%20Engineers&returnFacets=ALL&,47
Journal of Systems Engineering and Electronics,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Journal%20of%20Systems%20Engineering%20and%20Electronics&returnFacets=ALL&,37
Journal of Systems Engineering and Electronics,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Journal%20of%20Systems%20Engineering%20and%20Electronics&returnFacets=ALL&,38
Journal of Systems Engineering and Electronics,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Journal%20of%20Systems%20Engineering%20and%20Electronics&returnFacets=ALL&,39
Journal of Systems Engineering and Electronics,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Journal%20of%20Systems%20Engineering%20and%20Electronics&returnFacets=ALL&,40
Journal of Systems Engineering and Electronics,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Journal%20of%20Systems%20Engineering%20and%20Electronics&returnFacets=ALL&,41
Tsinghua Science and Technology,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Tsinghua%20Science%20and%20Technology&returnFacets=ALL&,29
Tsinghua Science and Technology,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Tsinghua%20Science%20and%20Technology&returnFacets=ALL&,30
Tsinghua Science and Technology,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Tsinghua%20Science%20and%20Technology&returnFacets=ALL&,31
Tsinghua Science and Technology,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Tsinghua%20Science%20and%20Technology&returnFacets=ALL&,32
CSEE Journal of Power and Energy Systems,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:CSEE%20Journal%20of%20Power%20and%20Energy%20Systems&returnFacets=ALL&,14
Journal of Modern Power Systems and Clean Energy,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Journal%20of%20Modern%20Power%20Systems%20and%20Clean%20Energy&returnFacets=ALL&,3
IEEE Transactions on Neural Systems and Rehabilitation Engineering,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:IEEE%20Transactions%20on%20Neural%20Systems%20and%20Rehabilitation%20EngineeringreturnFacets=ALL&,1
IEEE Transactions on Neural Systems and Rehabilitation Engineering,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:IEEE%20Transactions%20on%20Neural%20Systems%20and%20Rehabilitation%20EngineeringreturnFacets=ALL&,2
IEEE Transactions on Neural Systems and Rehabilitation Engineering,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:IEEE%20Transactions%20on%20Neural%20Systems%20and%20Rehabilitation%20EngineeringreturnFacets=ALL&,3
IEEE Transactions on Neural Systems and Rehabilitation Engineering,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:IEEE%20Transactions%20on%20Neural%20Systems%20and%20Rehabilitation%20EngineeringreturnFacets=ALL&,4
IEEE Transactions on Neural Systems and Rehabilitation Engineering,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:IEEE%20Transactions%20on%20Neural%20Systems%20and%20Rehabilitation%20EngineeringreturnFacets=ALL&,5
IEEE Transactions on Neural Systems and Rehabilitation Engineering,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:IEEE%20Transactions%20on%20Neural%20Systems%20and%20Rehabilitation%20EngineeringreturnFacets=ALL&,6
IEEE Transactions on Neural Systems and Rehabilitation Engineering,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:IEEE%20Transactions%20on%20Neural%20Systems%20and%20Rehabilitation%20EngineeringreturnFacets=ALL&,7
SAIEE Africa Research Journal,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:SAIEE%20Africa%20Research%20Journal&returnFacets=ALL&,6
SAIEE Africa Research Journal,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:SAIEE%20Africa%20Research%20Journal&returnFacets=ALL&,7
SAIEE Africa Research Journal,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&returnFacets=ALL&refinements=PublicationTitle:SAIEE%20Africa%20Research%20Journal&returnFacets=ALL&,8
Journal of Communications and Networks,https://ieeexplore.ieee.org/search/searchresult.jsp?sortType=paper-citations&highlight=true&matchPubs=true&returnType=SEARCH&openAccess=true&rowsPerPage=100&refinements=PublicationTitle:Journal%20of%20Communications%20and%20Networks&returnFacets=ALL&,5
